Phone_Model, Camera 
Samsung Galaxy M31s (Mirage Blue, 128 GB),64MP Rear Camera
Samsung Galaxy Note 20 (Mystic Blue, 256 GB),64MP + 12MP + 12MP | 10MP Front Camera
Samsung Galaxy M01s (Grey, 32 GB),13MP + 2MP | 8MP Front Camera
Samsung Galaxy M01s  (Light Blue, 32 GB),13MP + 2MP | 8MP Front Camera
Samsung M01 core (Red, 16 GB),8MP Rear Camera | 5MP Front Camera
Samsung M01 core (Red, 32 GB),8MP Rear Camera | 5MP Front Camera
Samsung Galaxy Note 20 Ultra 5G (Mystic Bronze, 256 GB),108MP + 12MP + 12MP | 10MP Front Camera
Samsung Galaxy Note 20 Ultra 5G (Mystic Black, 256 GB),108MP + 12MP + 12MP | 10MP Front Camera
Samsung Galaxy Note 20 (Mystic Green, 256 GB),64MP + 12MP + 12MP | 10MP Front Camera
Samsung Galaxy Note 20 (Mystic Bronze, 256 GB),64MP + 12MP + 12MP | 10MP Front Camera
Samsung M01 core (Black, 32 GB),8MP Rear Camera | 5MP Front Camera
Samsung M01 core (Blue, 16 GB),8MP Rear Camera | 5MP Front Camera
Samsung M01 core (Black, 16 GB),8MP Rear Camera | 5MP Front Camera
Samsung M01 core (Blue, 32 GB),8MP Rear Camera | 5MP Front Camera
Samsung Galaxy A51 (Haze Crush Silver, 128 GB),48MP + 12MP + 5MP + 5MP | 32MP Front Camera
Samsung Galaxy A51 (Haze Crush Silver, 128 GB),48MP + 12MP + 5MP + 5MP | 32MP Front Camera
Samsung Galaxy A71 (Haze Crush Silver, 128 GB),64MP + 12MP + 5MP + 5MP | 32MP Front Camera
Samsung Galaxy M30S (Black, 128 GB),48MP + 8MP | 16MP Front Camera
Samsung Galaxy M30S (Blue, 128 GB),48MP + 8MP | 16MP Front Camera
Samsung Galaxy M21 (Raven Black, 128 GB),48MP + 8MP + 5MP | 20MP Front Camera
Samsung Galaxy M21 (Midnight Blue, 128 GB),48MP + 8MP + 5MP | 20MP Front Camera
Samsung Galaxy A21s (Blue, 64 GB),48MP + 8MP + 2MP + 2MP | 13MP Front Camera
Samsung Galaxy A21s (Black, 64 GB),48MP + 8MP + 2MP + 2MP | 13MP Front Camera
Samsung Galaxy A21s (Blue, 64 GB),48MP + 8MP + 2MP + 2MP | 13MP Front Camera
